"geno","plate_id","order","pop","long","lat","alt","DOYFS1.9","AvgeSen.9","BaseDiameter.9","DryMatter.9","LeafLength.7","LeafWidth.7","MaxCanopyHeight.9","Moisture.9","StatureCategory.7","StatureLeafAngle.7","StatureStemAngle.7","StemDiameter.9","TallestStem.9","TransectCount.9","Cellulose.8","Hemicellulose.8","Lignin.8"
"Pa-203","Plate2E06",124,"sin1_1",NA,NA,NA,-5.25,0.525,-75,-251.3087506,-10.375,-0.5,-6.25,-2.591351638,0.625,0.125,0.25,-0.175,-0.75,0.25,0.955,-3.045,1.1725
"Pa-175","Plate2F01",125,"sin1_1",NA,NA,NA,91.25,-1.95,-62.5,-128.5279318,48.875,0.675,22.5,11.44026174,2,-1.14e-14,1,3.35,-23,-17.75,-5.085,-1.6975,-1.0125
"Pa-69","Plate2F02",126,"sin1_2",126.2,33.3667,NA,NA,-2.125,-2.7e-12,494.1231883,58.125,0.475,21.25,11.91042527,-1,-1.13e-14,-0.5,1.8,-67.5,-6.5,-4.7,-4.0175,0.8675
"Pa-167","Plate2F03",127,"sin1_1",NA,NA,NA,75.5,-0.7,-25,224.8593987,9.625,0.05,20,9.049665932,0.125,0.125,1.53e-14,1.3,16.25,-5.5,-4.6425,-2.7375,-0.3675
"Pa-46","Plate2F04",128,NA,131.059,32.872,750,58,0.15,-25,-141.6454346,15.875,-0.425,16.25,1.024563925,-0.5,-1.13e-14,-0.25,-0.4,-7.25,2.5,-2.5375,-1.1675,-0.1525
"Pa-85","Plate2F05",129,"sin1_2",127.533,35.3333,800,39.25,-1.225,-75,-385.9798195,12.125,-0.075,6.25,0.749508877,-1.5,0.5,-1,1.6,-12,-1.75,0.9425,-3.25,0.3525
"Pa-29","Plate2F06",130,"sin1_1",137.725,36.141,1320,14.75,-0.85,12.5,215.3500916,20.25,-0.5,21.25,-3.928588393,0.375,0.375,1.52e-14,1,17.5,-3.5,0.305,-4.1525,0.445
"Pa-63","Plate2G01",131,"sin1_2",128.7,37.3,300,NA,-0.775,-112.5,NA,23,-0.425,-36.25,NA,1,-1.12e-14,0.5,0.55,-48.5,-6,NA,NA,NA
"Pa-97","Plate2G03",133,"sin1_2",125.317,41.2628,390,23.25,1.525,-137.5,-577.9473859,27.625,-0.475,-43.75,-5.816160885,0.125,0.125,1.52e-14,-0.6,-48.5,11.5,0.1475,-2.7125,0.85
"Pa-183","Plate2G04",134,"sin1_1",NA,NA,NA,NA,-3.6,-100,-121.8573787,31.875,0.175,-6.25,15.71444885,0.5,-1.12e-14,0.25,2.025,-87.5,-5.25,-6.6075,-1.515,-1.4575
"Pa-215","Plate2G05",135,"sin1_1",NA,NA,NA,2.5,1.225,-87.5,-246.7620201,7.25,-0.175,16.25,-8.452843128,-0.875,0.125,-0.5,-0.075,3,-5,3.4,-2.8225,2.005
"Pa-314","Plate2H01",137,NA,NA,NA,NA,50.25,-1.8,-25,251.747525,10.875,-0.35,-5,8.390656927,1.875,0.375,0.75,1.15,-13.5,-0.75,-0.49,-2.7875,0.8475
"Pa-209","Plate2H02",138,"sin1_1",NA,NA,NA,11,0.4,-87.5,-191.6957583,-0.125,-0.525,-10,0.110130805,0.375,0.375,1.52e-14,-1.225,-24.25,12.25,0.8525,-1.1575,0.7375
"Pa-197","Plate2H03",139,"sin1_1",NA,NA,NA,-5.25,0.3,-2.69e-12,-267.5944711,-6.125,-0.25,-5,-4.774553435,-0.75,0.25,-0.5,-1.2,-14.5,8.5,1.0025,-2.9375,1.0125
"Pa-168","Plate2H04",140,"sin1_1",NA,NA,NA,67,-0.95,-2.69e-12,638.8966966,13.125,-0.05,12.5,5.449305667,2.5,-1.12e-14,1.25,0.575,-16.75,-2,-1.63,-2.105,0.5175
"Pa-21","Plate2H05",141,"sin1_1",137.725,36.141,1320,9.75,-0.075,-75,-518.4378845,12.375,-0.3875,-23.75,-0.96106295,-1.45e-14,-1.12e-14,1.51e-14,-1.225,-19.75,1.75,-1.205,-0.6575,0.61
"Pa-55","Plate2H06",142,"sin1_2",127.317,37.85,250,41.25,0.175,-2.7e-12,217.5655043,18.625,-0.225,6.25,3.712243065,-1.44e-14,-1.13e-14,1.52e-14,0.875,-26.25,12,0.0175,-4.3475,1.7875
